Producto, Volumen mtro3
1210 , 0.07754000 
1211 , 0.01715000 
1212 , 0.14000000 
1213 , 0.00105000 
1214 , 0.00010000 
1215 , 0.01440517 
1216 , 0.00060300 
1217 , 0.00095680 
1218 , 0.07014800 
1219 , 0.00095680 
1220 , 0.01000000 
1221 , 0.01312800 
1222 , 0.00078500 
1223 , 0.00095680 
1224 , 0.00892400 
1225 , 0.04930000 
1226 , 0.00622200 
1227 , 0.00054000 
1228 , 0.38549650 
1229 , 0.00095680 
1230 , 0.02612000 
1231 , 0.06000000 
1232 , 0.07182400 
1233 , 0.52684200 
1234 , 0.08000000 
1235 , 0.18921641 
1236 , 0.02719300 
1237 , 0.00001680 
1238 , 0.09000000 
1239 , 0.07592400 
1240 , 0.00095680 
1241 , 0.08993931 
1242 , 0.00010000 
1243 , 0.00095680 
